[23:13:59] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:14:04] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:14:04] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:14:04] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:14:04] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:14:04] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:14:06] [Worker-Main-2/INFO]: Loaded 7 recipes
[23:14:06] [Worker-Main-2/INFO]: Loaded 1141 advancements
[23:14:08] [Server thread/INFO]: Starting minecraft server version 1.18.2
[23:14:08] [Server thread/INFO]: Loading properties
[23:14:08] [Server thread/INFO]: Default game type: SURVIVAL
[23:14:08] [Server thread/INFO]: Generating keypair
[23:14:09] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:14:09] [Server thread/INFO]: Using epoll channel type
[23:14:09] [Server thread/INFO]: Preparing level "world"
[23:14:19] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:14:25] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[23:14:26] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[23:14:26] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[23:14:27] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[23:14:27] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[23:14:28] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[23:14:28] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[23:14:29] [Worker-Main-2/INFO]: Preparing spawn area: 72%
